state,median_gross_rent_2023,rent_scale_factor_2023_to_2025,median_gross_rent_2025_cpi_adj,min_wage_2025,wage_note
Alabama,982,1.066848,1047.64,7.25,
Alaska,1373,1.066848,1464.78,11.91,
Arizona,1608,1.066848,1715.49,14.7,
Arkansas,933,1.066848,995.37,11.0,
California,1992,1.066848,2125.16,16.5,
Colorado,1771,1.066848,1889.39,14.81,
Connecticut,1463,1.066848,1560.8,16.35,
Delaware,1358,1.066848,1448.78,15.0,
District of Columbia,1904,1.066848,2031.28,17.5,
Florida,1719,1.066848,1833.91,13.0,
Georgia,1400,1.066848,1493.59,7.25,
Hawaii,1940,1.066848,2069.68,14.0,
Idaho,1256,1.066848,1339.96,7.25,
Illinois,1238,1.066848,1320.76,15.0,
Indiana,1044,1.066848,1113.79,7.25,
Iowa,949,1.066848,1012.44,7.25,
Kansas,1036,1.066848,1105.25,7.25,
Kentucky,929,1.066848,991.1,7.25,
Louisiana,1020,1.066848,1088.18,7.25,
Maine,1189,1.066848,1268.48,14.65,
Maryland,1651,1.066848,1761.37,15.0,
Massachusetts,1757,1.066848,1874.45,15.0,
Michigan,1101,1.066848,1174.6,10.56,
Minnesota,1264,1.066848,1348.5,11.13,
Mississippi,898,1.066848,958.03,7.25,
Missouri,1019,1.066848,1087.12,13.75,
Montana,1083,1.066848,1155.4,10.55,Some non-FLSA small business exemptions; using $10.55.
Nebraska,1042,1.066848,1111.66,13.5,
Nevada,1622,1.066848,1730.43,12.0,
New Hampshire,1517,1.066848,1618.41,7.25,
New Jersey,1667,1.066848,1778.44,15.49,Small employers lower; using standard $15.49.
New Mexico,1084,1.066848,1156.46,12.0,
New York,1561,1.066848,1665.35,15.5,NYC/LI/Westchester higher rates; using statewide baseline $15.50.
North Carolina,1245,1.066848,1328.23,7.25,
North Dakota,916,1.066848,977.23,7.25,
Ohio,1014,1.066848,1081.78,10.7,Small employers may pay $7.25; using $10.70.
Oklahoma,1020,1.066848,1088.18,7.25,
Oregon,1481,1.066848,1580.0,14.7,Regional rates; using standard $14.70.
Pennsylvania,1197,1.066848,1277.02,7.25,
Rhode Island,1365,1.066848,1456.25,15.0,
South Carolina,1170,1.066848,1248.21,7.25,
South Dakota,921,1.066848,982.57,11.5,
Tennessee,1214,1.066848,1295.15,7.25,
Texas,1413,1.066848,1507.46,7.25,
Utah,1551,1.066848,1654.68,7.25,
Vermont,1202,1.066848,1282.35,14.01,
Virginia,1567,1.066848,1671.75,12.41,
Washington,1731,1.066848,1846.71,16.66,
West Virginia,850,1.066848,906.82,8.75,
Wisconsin,1071,1.066848,1142.59,7.25,
Wyoming,1000,1.066848,1066.85,7.25,
